Time,AcX,AcY,AcZ
11:45:53.506,-0.02,0.00,1.00
11:45:53.599,-0.02,0.00,1.00
11:45:53.694,-0.02,0.00,1.01
11:45:53.788,-0.02,0.01,1.00
11:45:53.884,-0.02,-0.00,1.00
11:45:53.977,-0.01,0.01,1.01
11:45:54.117,-0.02,0.01,0.99
11:45:54.211,-0.02,0.01,1.00
11:45:54.306,-0.02,0.00,0.99
11:45:54.399,-0.01,0.01,0.99
11:45:54.494,-0.02,0.00,1.00
11:45:54.586,-0.01,0.00,0.99
11:45:54.727,-0.02,0.01,1.00
11:45:54.823,-0.01,0.00,1.00
11:45:54.917,-0.01,0.00,1.00
11:45:55.012,-0.02,0.00,1.00
11:45:55.107,-0.02,0.00,1.00
11:45:55.201,-0.01,0.00,1.00
11:45:55.294,-0.01,0.01,1.00
11:45:55.389,-0.02,0.00,1.00
11:45:55.530,-0.02,0.00,1.00
11:45:55.624,-0.02,0.00,0.99
11:45:55.718,-0.02,0.01,1.00
11:45:55.812,-0.02,0.00,1.00
11:45:55.906,-0.01,0.00,0.99
11:45:56.001,-0.02,0.01,1.00
11:45:56.095,-0.01,0.00,1.00
11:45:56.234,-0.02,0.00,1.00
11:45:56.330,-0.02,0.00,1.00
11:45:56.425,-0.02,0.00,1.00
11:45:56.519,-0.02,-0.00,1.00
11:45:56.612,-0.01,0.00,1.00
11:45:56.705,-0.02,0.00,0.99
11:45:56.846,-0.02,0.01,1.00
11:45:56.940,-0.02,0.00,1.00
11:45:57.034,-0.02,0.01,1.00
11:45:57.129,-0.02,0.00,1.00
11:45:57.223,-0.02,0.01,1.00
11:45:57.317,-0.02,0.00,1.00
11:45:57.411,-0.02,0.01,0.99
11:45:57.504,-0.02,0.00,1.00
11:45:57.644,-0.02,0.01,1.00
11:45:57.738,-0.02,0.00,0.99
11:45:57.833,-0.02,0.01,1.00
11:45:57.927,-0.02,0.00,1.00
11:45:58.023,-0.01,-0.00,1.00
11:45:58.116,-0.01,0.00,1.01
11:45:58.256,-0.02,0.01,1.01
11:45:58.349,-0.02,0.00,1.00
11:45:58.444,-0.02,0.00,1.01
11:45:58.540,-0.02,0.00,1.00
11:45:58.635,-0.02,0.00,1.00
11:45:58.727,-0.02,0.00,1.00
11:45:58.823,-0.02,0.00,1.00
11:45:58.963,-0.01,0.00,1.00
11:45:59.052,-0.01,0.00,1.01
11:45:59.146,-0.03,0.01,1.00
11:45:59.241,-0.02,0.01,1.00
11:45:59.336,-0.02,0.00,1.01
11:45:59.429,-0.01,-0.00,1.01
11:45:59.524,-0.02,0.00,1.00
11:45:59.665,-0.02,0.00,1.00
11:45:59.759,-0.02,0.01,1.00
11:45:59.852,-0.02,0.00,1.00
11:45:59.946,-0.02,0.00,1.00
11:46:00.040,-0.01,0.01,1.00
11:46:00.180,-0.02,0.00,1.00
11:46:00.275,-0.02,0.00,1.00
11:46:00.369,-0.01,-0.00,1.00
11:46:00.463,-0.01,-0.01,1.00
11:46:00.559,-0.01,0.00,1.00
11:46:00.654,-0.02,0.01,1.00
11:46:00.748,-0.01,-0.00,1.00
11:46:00.842,-0.02,-0.00,1.00
11:46:00.982,-0.02,-0.00,1.00
11:46:01.075,-0.02,0.00,0.99
11:46:01.169,-0.01,0.00,1.00
11:46:01.263,-0.02,-0.00,1.00
11:46:01.356,-0.02,-0.00,1.00
11:46:01.452,-0.02,0.00,1.00
11:46:01.594,-0.02,0.00,0.99
11:46:01.689,-0.02,0.00,1.01
11:46:01.785,-0.02,0.00,1.01
11:46:01.878,-0.02,0.00,1.00
11:46:01.972,-0.02,0.00,0.99
11:46:02.067,-0.02,0.00,1.00
11:46:02.161,-0.02,0.00,0.99
11:46:02.255,-0.01,0.00,1.00
11:46:02.397,-0.02,0.01,1.00
11:46:02.492,-0.02,0.01,0.99
11:46:02.588,-0.01,0.00,1.00
11:46:02.683,-0.02,0.00,1.00
11:46:02.778,-0.02,-0.00,1.00
11:46:02.871,-0.02,0.00,1.00
11:46:02.965,-0.02,0.01,1.00
11:46:03.060,-0.02,0.00,1.00
11:46:03.201,-0.02,0.00,1.00
11:46:03.295,-0.02,0.00,1.01
11:46:03.389,-0.03,0.00,1.00
11:46:03.482,-0.02,-0.03,1.00
11:46:03.576,0.01,0.06,1.04
11:46:03.670,-0.00,-0.03,1.20
11:46:03.810,0.00,-0.09,1.13
11:46:03.904,0.05,-0.10,0.63
11:46:03.998,0.01,-0.09,0.77
11:46:04.093,0.05,-0.03,1.03
11:46:04.185,0.01,-0.01,1.02
11:46:04.279,0.13,0.13,1.05
11:46:04.374,-0.04,0.01,1.01
11:46:04.515,0.02,0.02,1.16
11:46:04.609,-0.01,-0.03,1.04
11:46:04.703,0.07,-0.07,0.88
11:46:04.797,0.02,-0.07,0.73
11:46:04.891,0.05,-0.07,0.87
11:46:04.985,0.09,-0.06,0.95
11:46:05.078,0.04,0.03,1.10
11:46:05.219,0.01,-0.35,-0.49
11:46:05.313,-0.01,-0.02,1.05
11:46:05.407,-0.14,0.01,1.02
11:46:05.500,-0.25,0.03,0.96
11:46:05.594,-0.04,0.10,1.17
11:46:05.687,0.56,-0.09,0.89
11:46:05.825,0.51,-0.06,0.98
11:46:05.920,-0.19,0.08,0.99
11:46:06.014,-0.42,0.12,1.08
11:46:06.108,-0.60,0.14,1.06
11:46:06.201,-0.09,0.05,0.84
11:46:06.293,0.70,-0.06,1.02
11:46:06.433,0.74,-0.02,1.05
11:46:06.526,-0.15,0.08,0.89
11:46:06.619,-0.89,0.16,0.96
11:46:06.712,-0.20,0.05,0.87
11:46:06.809,0.34,-0.01,0.86
11:46:06.903,0.30,0.01,1.30
11:46:07.043,-0.13,0.01,1.19
11:46:07.137,-0.02,0.02,1.04
11:46:07.231,-0.01,0.00,0.99
11:46:07.325,0.04,-0.02,0.96
11:46:07.418,-0.01,0.00,1.00
11:46:07.510,0.01,0.03,1.03
11:46:07.650,0.01,0.03,1.24
11:46:07.744,-0.07,-0.03,0.84
11:46:07.837,0.01,-0.01,0.74
11:46:07.930,-0.02,-0.06,1.00
11:46:08.024,-0.00,0.09,1.03
11:46:08.118,0.08,-0.08,0.70
11:46:08.212,-0.02,0.03,0.84
11:46:08.352,-0.12,0.14,1.02
11:46:08.445,0.01,0.02,1.10
11:46:08.539,0.05,-0.08,0.76
11:46:08.632,0.02,0.01,0.67
11:46:08.726,-0.10,-0.14,1.11
11:46:08.821,-0.11,0.06,1.31
11:46:08.914,0.02,-0.05,0.79
11:46:09.056,-0.03,0.06,0.66
11:46:09.148,0.34,0.23,0.39
11:46:09.243,-0.05,-0.02,1.04
11:46:09.337,-0.02,-0.01,1.02
11:46:09.431,0.24,-0.12,1.25
11:46:09.526,0.25,-0.03,0.88
11:46:09.668,-0.20,0.03,0.89
11:46:09.762,-0.55,0.08,1.12
11:46:09.856,-0.45,0.04,1.15
11:46:09.950,-0.15,0.06,0.86
11:46:10.045,0.51,-0.00,0.81
11:46:10.139,0.52,-0.14,1.01
11:46:10.233,0.32,-0.13,1.13
11:46:10.328,-0.17,-0.01,0.99
11:46:10.469,-0.24,0.08,0.72
11:46:10.563,-0.33,-2.00,-2.00
11:46:10.656,-0.07,-0.05,0.97
11:46:10.748,-0.01,-0.01,1.04
11:46:10.842,-0.02,-0.03,1.03
11:46:10.935,0.00,-0.01,1.01
11:46:11.078,-0.01,0.01,1.00
11:46:11.172,-0.02,0.01,1.00
11:46:11.267,-0.01,0.00,0.98
11:46:11.361,-0.01,0.00,1.00
11:46:11.454,-0.01,-0.00,1.00
11:46:11.546,-0.02,0.01,1.00
11:46:11.686,-0.02,0.01,1.00
11:46:11.780,-0.02,0.01,1.00
11:46:11.874,-0.02,0.01,1.00
11:46:11.967,-0.00,0.01,0.99
11:46:12.060,-0.09,0.03,1.02
11:46:12.153,0.00,0.00,0.99
11:46:12.293,-0.02,-0.04,1.05
11:46:12.387,0.05,0.06,1.04
11:46:12.479,-0.04,-0.07,1.11
11:46:12.573,0.05,-0.15,0.94
11:46:12.666,0.01,-0.10,0.78
11:46:12.759,-0.03,-0.06,0.75
11:46:12.852,-0.03,-0.05,0.89
11:46:12.993,-0.07,0.04,0.85
11:46:13.087,-2.00,2.00,-2.00
11:46:13.181,-0.07,0.03,0.94
11:46:13.273,-0.01,0.02,1.00
11:46:13.366,-0.03,-0.00,1.00
11:46:13.460,-0.00,-0.00,0.98
11:46:13.600,-0.01,0.00,1.00
11:46:13.694,-0.02,0.00,1.00
11:46:13.786,-0.02,-0.00,1.00
11:46:13.880,-0.01,0.01,1.00
11:46:13.974,-0.01,0.00,0.99
11:46:14.067,-0.01,0.00,1.00
11:46:14.208,-0.01,0.00,1.00
11:46:14.299,-0.01,0.01,1.01
11:46:14.393,-0.02,0.00,1.00
11:46:14.487,-0.01,0.00,1.00
11:46:14.580,-0.01,0.00,1.00
11:46:14.674,-0.01,0.00,0.99
11:46:14.816,-0.01,0.00,0.99
11:46:14.909,-0.02,0.00,1.00
11:46:15.003,-0.01,-0.00,1.00
11:46:15.096,-0.01,0.01,1.00
11:46:15.189,-0.02,0.00,1.00
11:46:15.282,-0.01,0.00,1.01
11:46:15.423,-0.01,0.00,1.00
11:46:15.516,-0.01,0.00,1.01
11:46:15.610,-0.01,0.00,1.00
11:46:15.702,-0.01,0.00,1.00
11:46:15.795,-0.01,0.00,0.99
11:46:15.887,-0.01,0.01,1.01
11:46:16.027,-0.01,0.00,1.01
11:46:16.121,-0.01,-0.00,0.99
11:46:16.214,-0.02,0.00,1.00
11:46:16.308,-0.01,0.00,1.00
11:46:16.401,-0.02,0.01,1.00
11:46:16.494,-0.01,0.00,0.99
11:46:16.634,-0.02,0.00,1.00
11:46:16.729,-0.02,0.00,1.01
11:46:16.823,-0.01,0.01,1.01
11:46:16.918,-0.01,-0.00,1.00
11:46:17.010,-0.01,-0.00,1.01
11:46:17.104,-0.01,-0.00,1.01
11:46:17.197,-0.01,-0.00,0.99
11:46:17.338,-0.01,0.01,1.00
11:46:17.431,-0.02,0.00,1.00
11:46:17.524,-0.01,0.00,1.00
11:46:17.617,-0.01,0.00,1.00
11:46:17.710,-0.01,0.00,1.01
11:46:17.804,-0.01,0.01,1.01
11:46:17.943,-0.01,0.00,0.99
11:46:18.036,-0.01,0.00,1.00
11:46:18.130,-0.02,0.00,1.00
11:46:18.224,-0.01,0.00,1.00
11:46:18.317,-0.01,-0.00,1.00
11:46:18.409,-0.02,0.00,1.00
11:46:18.549,-0.01,0.00,1.00
11:46:18.642,-0.01,0.00,1.00
11:46:18.736,-0.01,0.00,0.99
11:46:18.831,-0.01,0.00,1.00
11:46:18.924,-0.01,0.00,1.00
11:46:19.018,-0.01,0.00,1.00
11:46:19.160,-0.01,0.00,1.00
11:46:19.254,-0.01,0.00,1.01
11:46:19.345,-0.02,-0.00,1.01
11:46:19.437,-0.01,0.00,1.00
11:46:19.530,-0.02,0.00,1.00
11:46:19.624,-0.01,-0.00,1.00
11:46:19.763,-0.01,0.01,0.99
11:46:19.858,-0.02,0.01,1.01
11:46:19.951,-0.00,0.01,1.00
11:46:20.045,-0.01,0.01,1.01
11:46:20.136,-0.02,0.00,1.00
11:46:20.230,-0.02,0.00,1.00
11:46:20.370,-0.02,0.00,1.00
11:46:20.463,-0.02,-0.00,1.00
11:46:20.556,-0.01,-0.00,1.00
11:46:20.650,-0.02,0.00,1.00
11:46:20.742,-0.02,0.00,1.00
11:46:20.834,-0.01,0.00,0.99
11:46:20.974,-0.01,0.01,0.99
11:46:21.067,-0.01,0.00,1.00
